"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Title: <SPLIT>Description: Photos Plus Music Equals an Expensive iPod (washingtonpost.com) washingtonpost.com - First Apple put some color on the iPod, when it offered the iPod mini in a palette of pastel hues, and now it has put some color inside it, in the form of the new iPod Photo.","Title: <SPLIT>Description: Photos Plus Music Equals an Expensive iPod (washingtonpost.com) washingtonpost.com - First Apple put some color on the iPod, when it offered the iPod mini in a palette of pastel hues, and now it has put some color inside it, in the form of the new iPod Photo.",1.0,1.0,1,1,3,1,"Skipped"
"Title: <SPLIT>Description: Bryant Makes First Appearance at Trial (AP) AP - NBA star Kobe Bryant arrived at his sexual assault trial Monday as attorneys in the case who spent the weekend poring over questionnaires prepared to question potential jurors individually.","Title: <SPLIT>Description: Bryant Makes First Appearance at Trial (AP) AP - NBA star Kobe Bryant arrived at his sexual assault trial Monday as attorneys in the case who spent the weekend poring over questionnaires prepared to question potential jurors individually.",1.0,1.0,1,1,3,1,"Skipped"
"Title: <SPLIT>Description: Owners Seek Best Ballpark Deal for Expos (AP) AP - Trying to get the best possible ballpark deal for the Montreal Expos, major league baseball instructed its lawyers to press ahead with negotiations involving four of the areas bidding for the team.","Title: <SPLIT>Description: Owners Seek Best Ballpark Deal for Expos (AP) AP - Trying to get the best possible ballpark deal for the Montreal Expos, major league baseball instructed its lawyers to press ahead with negotiations involving four of the areas bidding for the team.",0.0,0.0,1,1,1,155,"Failed"
"Title: <SPLIT>Description: Eichel Wants Strong Euro on G20 Agenda German Finance Minister Eichel called for the euro #39;s  quot;brutal quot; rise versus the dollar to be put on the agenda of the summit of G20 countries in Berlin this weekend amid concerns the greenback #39;s slide could hit EU growth.","Title: <SPLIT>Description: Eichel Wants Strong Euro on G20 Agenda German Finance Minister Eichel called for the euro #39;s  quot;brutal quot; rise versus the dollar to be put on the agenda of the summit of G20 countries in Berlin this weekend amid concerns the greenback #39;s slide could hit EU growth.",1.0,1.0,1,1,2,1,"Skipped"
"Title: <SPLIT>Description: Vodafone targets Japan with 3G offensive Vodafone has unveiled plans for 10 new third-generation handsets for Christmas to help shore up its struggling Japanese unit. Vodafone VOD.","Title: <SPLIT>Description: Vodafone targets Japan with 3G offensive Vodafone has unveiled plans for 10 new third-generation handsets for Christmas to help shore up its struggling Japanese unit. Vodafone VOD.",1.0,1.0,0,0,2,1,"Skipped"
"Title: <SPLIT>Description: Apple offers 2004 financial details Apple's latest Form 10-K filing with the Securities and Exchange Commission offers a look at how the company did this past year, how it thinks it's doing and what's to come.","Title: <SPLIT>Description: Apple offers 2004 financial details Apple's latest Form 10-K filing with the Securities and Exchange Commission offers a look at how the company did this past year, how it thinks it's doing and what's to come.",1.0,1.0,1,1,3,1,"Skipped"
"Title: <SPLIT>Description: Saudis Take a Small Dose of Democracy For the first time in 41 years, Saudi Arabia is allowing local elections. The ruling family's goal, political analysts and diplomats say, is to determine whether a more open government might help defuse a rising armed threat by Muslim  militants in the kingdom.","Title: <SPLIT>Description: Saudis Take a Small Dose of Democracy For the first time in 41 years, Saudi Arabia is allowing local elections. The ruling family's goal, political analysts and diplomats say, is to determine whether a more open government might help defuse a rising armed threat by Muslim  militants in the kingdom.",1.0,1.0,1,1,0,1,"Skipped"
"Title: <SPLIT>Description: AT amp;T Wireless Moves to Sell Canada Asset T amp;T Wireless Services Inc., the third-largest United States mobile phone company, reached an agreement yesterday with Rogers Communications Inc.","Title: <SPLIT>Description: AT amp;T Wireless Moves to Sell Canada Asset T amp;T Wireless Services Inc., the third-largest United States mobile phone company, reached an agreement yesterday with Rogers Communications Inc.",1.0,1.0,0,0,2,1,"Skipped"
"Title: <SPLIT>Description: FIFA to investigate racism in Madrid Zurich, Switzerland (Sports Network) - FIFA will launch an investigation into the racist chants Spanish fans aimed at black English players during Wednesday #39;s friendly at the Bernabeu in Madrid.","Title: <SPLIT>Description: FIFA to investigate racism in Madrid Zurich, Switzerland (Sports Network) - FIFA will launch an investigation into the racist chants Spanish fans aimed at black English players during Wednesday #39;s friendly at the Bernabeu in Madrid.",1.0,1.0,0,0,1,1,"Skipped"
"Title: <SPLIT>Description: Our mobile margins will fall: Telstra TELSTRA chief financial officer John Stanhope has admitted Telstra #39;s margins in its \$4.5 billion a year mobile phone business will shrink this year in the face of increased price competition and the growing cost of acquiring new customers.","Title: <SPLIT>Description: Our mobile margins will fall: Telstra TELSTRA chief financial officer John Stanhope has admitted Telstra #39;s margins in its \$4.5 billion a year mobile phone business will shrink this year in the face of increased price competition and the growing cost of acquiring new customers.",1.0,1.0,1,1,3,1,"Skipped"
"Title: <SPLIT>Description: Only injury can stop peerless Federer at Masters Cup Last season, Roger Federer left Houston not even the top-ranked player of the year. He returns to the Westside Tennis Club next week to defend his Masters Cup title as the most ","Title: <SPLIT>Description: Only injury can stop peerless Federer at Masters Cup Last season, Roger Federer left Houston not even the top-ranked player of the year. He returns to the Westside Tennis Club next week to defend his Masters Cup title as the most ",1.0,1.0,0,0,1,1,"Skipped"
"Title: <SPLIT>Description: Aussies battle EU over cheese, champagne AP - The United States and Australia have prevailed in an interim ruling by World Trade Organisation (WTO) in a dispute over the protection given by the European Union to its regional goods such as Champagne wine and Feta cheese, trade officials said.","Title: <SPLIT>Description: Aussies battle EU over cheese, champagne AP - The United States and Australia have prevailed in an interim ruling by World Trade Organisation (WTO) in a dispute over the protection given by the European Union to its regional goods such as Champagne wine and Feta cheese, trade officials said.",1.0,1.0,1,1,2,1,"Skipped"
"Title: <SPLIT>[[Description]]: White Sox trade Lee to Brewers The Chicago White Sox traded outfield slugger Carlos Lee to the Milwaukee Brewers for outfielder Scott Podsednik , reliever Luis Vizcaino , and a player to be named in a deal announced yesterday at baseball's winter meetings in Anaheim, Calif.","Title: <SPLIT>[[Descriptlion]]: White Sox trade Lee to Brewers The Chicago White Sox traded outfield slugger Carlos Lee to the Milwaukee Brewers for outfielder Scott Podsednik , reliever Luis Vizcaino , and a player to be named in a deal announced yesterday at baseball's winter meetings in Anaheim, Calif.",0.0,1.0,1,3,1,59,"Successful"
"Title: <SPLIT>Description: Mission accomplished: US astronauts are home at last American astronaut Mike Fincke and Russian commander Gennady Padalka descended to Earth in remote Kazakstan late Saturday aboard a Soyuz space capsule.","Title: <SPLIT>Description: Mission accomplished: US astronauts are home at last American astronaut Mike Fincke and Russian commander Gennady Padalka descended to Earth in remote Kazakstan late Saturday aboard a Soyuz space capsule.",1.0,1.0,0,0,3,1,"Skipped"
"Title: <SPLIT>Description: Update 1: Thai Airways Orders 6 Airbus Superjumbos Thai Airways has agreed to buy six Airbus A380s, becoming the 13th airline to order the new  quot;superjumbo, quot; the European aircraft maker said Friday.","Title: <SPLIT>Description: Update 1: Thai Airways Orders 6 Airbus Superjumbos Thai Airways has agreed to buy six Airbus A380s, becoming the 13th airline to order the new  quot;superjumbo, quot; the European aircraft maker said Friday.",1.0,1.0,1,1,2,1,"Skipped"
"Title: <SPLIT>Description: National Foods to look for protector 29/10/2004 National Foods will hunt for a  quot;white knight quot; to protect it from Fonterras \$A1.62 billion (\$NZ1.76 billion) bid, raising the risk New Zealand dairy farmers will get dragged into an expensive bidding war.","Title: <SPLIT>Description: National Foods to look for protector 29/10/2004 National Foods will hunt for a  quot;white knight quot; to protect it from Fonterras \$A1.62 billion (\$NZ1.76 billion) bid, raising the risk New Zealand dairy farmers will get dragged into an expensive bidding war.",1.0,1.0,1,1,2,1,"Skipped"
"Title: <SPLIT>Description: Google SMS and wireless carriers that save your text messages. Yesterday we covered the news that Google is expanding their search to the mobile arena with their new Google SMS service which lets you search by sending text messages from your cellphone.","Title: <SPLIT>Description: Google SMS and wireless carriers that save your text messages. Yesterday we covered the news that Google is expanding their search to the mobile arena with their new Google SMS service which lets you search by sending text messages from your cellphone.",1.0,1.0,1,1,3,1,"Skipped"
"[[Title]]: <SPLIT>Description: American Aaron Peirsol Wins Gold on Appeal  ATHENS (Reuters) - Aaron Peirsol won his second gold medal  at the Athens Olympics Thursday after winning an appeal against  his disqualification from the men's 200 meter backstroke.","[[iTtle]]: <SPLIT>Description: American Aaron Peirsol Wins Gold on Appeal  ATHENS (Reuters) - Aaron Peirsol won his second gold medal  at the Athens Olympics Thursday after winning an appeal against  his disqualification from the men's 200 meter backstroke.",0.0,1.0,1,0,1,34,"Successful"
"Title: <SPLIT>Description: Qantas says record profit not big enough Australia #39;s flagship carrier Qantas Airways has reported a record annual net profit but warned oil prices threatened its performance, increasing the chance of a hike in ticket price surcharges to offset its fuel bill. ","Title: <SPLIT>Description: Qantas says record profit not big enough Australia #39;s flagship carrier Qantas Airways has reported a record annual net profit but warned oil prices threatened its performance, increasing the chance of a hike in ticket price surcharges to offset its fuel bill. ",1.0,1.0,1,1,2,1,"Skipped"
"[[Title]]: <SPLIT>Description: Daly penciled in for Deutsche Bank John Daly provided a nice surprise for local golf fans yesterday when he committed to play in next week #39;s Deutsche Bank Championship at TPC of Boston in Norton.","[[Titmle]]: <SPLIT>Description: Daly penciled in for Deutsche Bank John Daly provided a nice surprise for local golf fans yesterday when he committed to play in next week #39;s Deutsche Bank Championship at TPC of Boston in Norton.",0.0,1.0,1,0,1,31,"Successful"
"Title: <SPLIT>Description: World Population to Rise to 8.9 Billion Although world families are getting smaller in many regions, the 50 poorest countries are expected to triple in size to 1.7 billion people by 2050, posing many challenges for world countries.","Title: <SPLIT>Description: World Population to Rise to 8.9 Billion Although world families are getting smaller in many regions, the 50 poorest countries are expected to triple in size to 1.7 billion people by 2050, posing many challenges for world countries.",1.0,1.0,1,1,0,1,"Skipped"
"Title: <SPLIT>Description: Sun, Microsoft Clause Singles Out Openoffice Sun Microsystems (Quote, Chart) may have saved itself from years of costly litigation when it settled with Microsoft over their long-running Java dispute, but a clause in the landmark deal has open source supporters parsing its potential impact.","Title: <SPLIT>Description: Sun, Microsoft Clause Singles Out Openoffice Sun Microsystems (Quote, Chart) may have saved itself from years of costly litigation when it settled with Microsoft over their long-running Java dispute, but a clause in the landmark deal has open source supporters parsing its potential impact.",1.0,1.0,1,1,3,1,"Skipped"
"Title: <SPLIT>Description: Seven suspected terrorists arrested in Spain Spain #39;s Interior Minister says police have broken up a radical Muslim cell, plotting to bomb the country #39;s National Court.","Title: <SPLIT>Description: Seven suspected terrorists arrested in Spain Spain #39;s Interior Minister says police have broken up a radical Muslim cell, plotting to bomb the country #39;s National Court.",1.0,1.0,1,1,0,1,"Skipped"
"Title: <SPLIT>Description: Saturday Essay When in his mid-50s, immigrant Andrew Carnegie sold his steel holdings into a trust headed by JP Morgan in 1901, the Scottish immigrant and former cotton factory bobbin boy left a life of astounding, ground-up capitalism for retirement into philanthropy.","Title: <SPLIT>Description: Saturday Essay When in his mid-50s, immigrant Andrew Carnegie sold his steel holdings into a trust headed by JP Morgan in 1901, the Scottish immigrant and former cotton factory bobbin boy left a life of astounding, ground-up capitalism for retirement into philanthropy.",1.0,1.0,1,1,2,1,"Skipped"
"Title: <SPLIT>Description: AMP shrugs off British debacle Australian insurer AMP returned to the black in the first half of the year with net profits of A\$378m (150m) after a disastrous foray into Britain pushed it A\$2.16 billion into the red last year. ","Title: <SPLIT>Description: AMP shrugs off British debacle Australian insurer AMP returned to the black in the first half of the year with net profits of A\$378m (150m) after a disastrous foray into Britain pushed it A\$2.16 billion into the red last year. ",1.0,1.0,1,1,2,1,"Skipped"
