"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's about following your [[dreams]] , no matter what your parents think .","it 's about following your [[drdams]] , no matter what your parents think .",0.0,1.0,1,0,1,169,"Successful"
"a [[wildly]] inconsistent emotional experience .","a [[wiXldly]] inconsistent emotional experience .",0.0,0.0,0,0,0,200,"Failed"
"` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . '","` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . '",1.0,1.0,0,0,1,1,"Skipped"
"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series .","far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series .",1.0,1.0,0,0,1,1,"Skipped"
"for the most [[part]] , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama .","for the most [[pDart]] , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama .",0.0,0.0,1,1,1,200,"Failed"
"i do n't [[mind]] having my heartstrings pulled , but do n't treat me like a fool .","i do n't [[mgind]] having my heartstrings pulled , but do n't treat me like a fool .",0.0,0.0,0,0,0,174,"Failed"
"[[manages]] to transcend the sex , drugs and show-tunes plot into something far richer .","[[mManages]] to transcend the sex , drugs and show-tunes plot into something far richer .",0.0,0.0,1,1,1,200,"Failed"
"the [[action]] switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .","the [[acfion]] switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .",0.0,0.0,0,0,0,200,"Failed"
"good old-fashioned slash-and-hack is [[back]] !","good old-fashioned slash-and-hack is [[bSack]] !",0.0,1.0,1,0,1,200,"Successful"
"this movie is [[maddening]] .","this movie is [[maKddening]] .",0.0,1.0,0,1,0,77,"Successful"
"if you can stomach the rough [[content]] , it 's worth checking out for the performances alone .","if you can stomach the rough [[contemt]] , it 's worth checking out for the performances alone .",0.0,1.0,1,0,1,200,"Successful"
"a [[densely]] constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work .","a [[dbensely]] constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work .",0.0,0.0,1,1,1,200,"Failed"
"[[atom]] egoyan has conjured up a multilayered work that tackles any number of fascinating issues","[[afom]] egoyan has conjured up a multilayered work that tackles any number of fascinating issues",0.0,0.0,1,1,1,200,"Failed"
"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't [[pretty]] .","the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't [[petty]] .",0.0,1.0,0,1,0,200,"Successful"
"mr. tsai is a very [[original]] artist in his medium , and what time is it there ?","mr. tsai is a very [[oSriginal]] artist in his medium , and what time is it there ?",0.0,1.0,1,0,1,145,"Successful"
"[[leigh]] 's film is full of memorable performances from top to bottom .","[[lNeigh]] 's film is full of memorable performances from top to bottom .",0.0,0.0,1,1,1,200,"Failed"
"with [[virtually]] no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .","with [[vTirtually]] no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .",0.0,0.0,0,0,0,200,"Failed"
"it 's a [[remarkably]] solid and subtly satirical tour de force .","it 's a [[rWemarkably]] solid and subtly satirical tour de force .",0.0,0.0,1,1,1,200,"Failed"
"-[[lrb-]] a -rrb- n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s .","-[[lYrb-]] a -rrb- n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s .",0.0,0.0,1,1,1,200,"Failed"
"it [[takes]] talent to make a lifeless movie about the most heinous man who ever lived .","it [[tOakes]] talent to make a lifeless movie about the most heinous man who ever lived .",0.0,0.0,0,0,0,200,"Failed"
"[[oscar]] wilde 's masterpiece , the importance of being earnest , may be the best play of the 19th century .","[[oacar]] wilde 's masterpiece , the importance of being earnest , may be the best play of the 19th century .",0.0,0.0,1,1,1,200,"Failed"
"what was once [[original]] has been co-opted so frequently that it now seems pedestrian .","what was once [[oAriginal]] has been co-opted so frequently that it now seems pedestrian .",0.0,0.0,0,0,0,200,"Failed"
"... [[plays]] like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller .","... [[palys]] like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller .",0.0,0.0,0,0,0,200,"Failed"
"[[candid]] and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .","[[caPndid]] and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .",0.0,0.0,1,1,1,200,"Failed"
"the [[film]] is quiet , threatening and unforgettable .","the [[fiElm]] is quiet , threatening and unforgettable .",0.0,1.0,1,0,1,194,"Successful"
"a gorgeous , high-spirited musical from india that exquisitely [[blends]] music , dance , song , and high drama .","a gorgeous , high-spirited musical from india that exquisitely [[blehds]] music , dance , song , and high drama .",0.0,1.0,1,0,1,200,"Successful"
"a [[gorgeous]] , witty , seductive movie .","a [[gWorgeous]] , witty , seductive movie .",0.0,0.0,1,1,1,145,"Failed"
"whether writer-director anne [[fontaine]] 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting .","whether writer-director anne [[fontNaine]] 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting .",0.0,1.0,1,0,1,200,"Successful"
"this is n't [[even]] madonna 's swept away .","this is n't [[eCven]] madonna 's swept away .",0.0,0.0,0,0,0,86,"Failed"
"a [[sequence]] of ridiculous shoot - 'em - up scenes .","a [[sGequence]] of ridiculous shoot - 'em - up scenes .",0.0,0.0,0,0,0,156,"Failed"
"this [[nickleby]] thing might have more homosexual undertones than an eddie murphy film .","this [[ncikleby]] thing might have more homosexual undertones than an eddie murphy film .",0.0,0.0,0,0,0,200,"Failed"
