"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"stultifyingly , dumbfoundingly , mind-numbingly bad .","stultifyingly , dumbfoundingly , mind-numbingly bad .",0.0,0.0,0,0,0,37,"Failed"
"wince-inducing dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty .","wince-inducing dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty .",0.0,0.0,0,0,0,136,"Failed"
"the experience of going to a film festival is a rewarding one ; the experiencing of sampling one through this movie is not .","the experience of going to a film festival is a rewarding one ; the experiencing of sampling one through this movie is not .",1.0,1.0,1,1,0,1,"Skipped"
"it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise .","it moves quickly , adroitly , and without fuss ; it does n't give you time to reflect on the inanity -- and the cold war datedness -- of its premise .",1.0,1.0,0,0,1,1,"Skipped"
"the characters are interesting and often very creatively constructed from figure to backstory .","the characters are interesting and often very creatively constructed from figure to backstory .",0.0,0.0,1,1,1,132,"Failed"
"a swashbuckling [[tale]] of love , betrayal , revenge and above all , faith .","a swashbuckling [[fib]] of love , betrayal , revenge and above all , faith .",0.0,1.0,1,0,1,44,"Successful"
"bad .","bad .",0.0,0.0,0,0,0,34,"Failed"
"it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible .","it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible .",0.0,0.0,1,1,1,200,"Failed"
"the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original .","the humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original .",0.0,0.0,0,0,0,133,"Failed"
"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences .","good car chases , great fight scenes , and a distinctive blend of european , american and asian influences .",0.0,0.0,1,1,1,200,"Failed"
"for all the writhing and wailing , tears , rage and opium overdoses , there 's no sense of actual passion being washed away in love 's dissolution .","for all the writhing and wailing , tears , rage and opium overdoses , there 's no sense of actual passion being washed away in love 's dissolution .",0.0,0.0,0,0,0,200,"Failed"
"fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .","fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .",1.0,1.0,0,0,1,1,"Skipped"
"the piquant story [[needs]] more dramatic meat on its bones .","the piquant story [[inevitably]] more dramatic meat on its bones .",0.0,1.0,0,1,0,87,"Successful"
"that 's a [[cheat]] .","that 's a [[slicker]] .",0.0,1.0,0,1,0,42,"Successful"
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie .","audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie .",0.0,0.0,1,1,1,151,"Failed"
"there is no pleasure in watching a child suffer .","there is no pleasure in watching a child suffer .",0.0,0.0,0,0,0,89,"Failed"
"it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role .","it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role .",0.0,0.0,0,0,0,200,"Failed"
"does little more than play an innocuous game of fill-in - the-blanks with a tragic past .","does little more than play an innocuous game of fill-in - the-blanks with a tragic past .",0.0,0.0,0,0,0,165,"Failed"
"lapaglia 's ability to convey grief and hope works with weaver 's sensitive reactions to make this a two-actor master class .","lapaglia 's ability to convey grief and hope works with weaver 's sensitive reactions to make this a two-actor master class .",0.0,0.0,1,1,1,200,"Failed"
"the far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past .","the far future may be awesome to consider , but from period detail to matters of the heart , this film is most transporting when it stays put in the past .",1.0,1.0,0,0,1,1,"Skipped"
"may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .","may be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .",0.0,0.0,1,1,1,200,"Failed"
"on this tricky topic , tadpole is very much a step in the [[right]] direction , with its blend of frankness , civility and compassion .","on this tricky topic , tadpole is very much a step in the [[flop]] direction , with its blend of frankness , civility and compassion .",0.0,1.0,1,0,1,130,"Successful"
"if you dig on david mamet 's mind tricks ... rent this movie and enjoy !","if you dig on david mamet 's mind tricks ... rent this movie and enjoy !",0.0,0.0,1,1,1,179,"Failed"
"the [[lower]] your expectations , the more you 'll enjoy it .","the [[blue]] your expectations , the more you 'll enjoy it .",0.0,1.0,0,1,0,75,"Successful"
"just as moving , uplifting and [[funny]] as ever .","just as moving , uplifting and [[odd]] as ever .",0.0,1.0,1,0,1,60,"Successful"
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored .","it does n't believe in itself , it has no sense of humor ... it 's just plain bored .",0.0,0.0,0,0,0,107,"Failed"
"try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! '","try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! '",0.0,0.0,0,0,0,200,"Failed"
"... with `` the [[bourne]] identity '' we return to the more traditional action genre .","... with `` the [[bourn]] identity '' we return to the more traditional action genre .",0.0,1.0,1,0,1,55,"Successful"
"the story and structure are well-honed .","the story and structure are well-honed .",0.0,0.0,1,1,1,32,"Failed"
"it is great summer fun to watch arnold and his buddy gerald bounce off a quirky [[cast]] of characters .","it is great summer fun to watch arnold and his buddy gerald bounce off a quirky [[regurgitate]] of characters .",0.0,1.0,1,0,1,180,"Successful"
"a synthesis of cliches and absurdities that seems positively decadent in its cinematic [[flash]] and emptiness .","a synthesis of cliches and absurdities that seems positively decadent in its cinematic [[heartbeat]] and emptiness .",0.0,1.0,0,1,0,106,"Successful"
"while its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's final scene is soaringly , transparently [[moving]] .","while its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's final scene is soaringly , transparently [[displace]] .",0.0,1.0,1,0,1,110,"Successful"
"this is a story of two misfits who do n't stand a chance alone , but together they are magnificent .","this is a story of two misfits who do n't stand a chance alone , but together they are magnificent .",0.0,0.0,1,1,1,148,"Failed"
"a marvel [[like]] none you 've seen .","a marvel [[alike]] none you 've seen .",0.0,1.0,1,0,1,63,"Successful"
"in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan .","in the end , the movie collapses on its shaky foundation despite the best efforts of director joe carnahan .",0.0,0.0,0,0,0,200,"Failed"
"a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors .","a coda in every sense , the pinochet case splits time between a minute-by-minute account of the british court 's extradition chess game and the regime 's talking-head survivors .",1.0,1.0,0,0,1,1,"Skipped"
"part low rent godfather .","part low rent godfather .",0.0,0.0,0,0,0,141,"Failed"
"it 's not that kung pow is n't funny some of the time -- it just is n't any funnier than bad martial arts movies are all by themselves , without all oedekerk 's impish augmentation .","it 's not that kung pow is n't funny some of the time -- it just is n't any funnier than bad martial arts movies are all by themselves , without all oedekerk 's impish augmentation .",0.0,0.0,0,0,0,176,"Failed"
"complete lack of originality , cleverness or even visible effort","complete lack of originality , cleverness or even visible effort",0.0,0.0,0,0,0,118,"Failed"
"[[uses]] high comedy to evoke surprising poignance .","[[America]] high comedy to evoke surprising poignance .",0.0,1.0,1,0,1,83,"Successful"
"there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there .","there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there .",0.0,0.0,0,0,0,200,"Failed"
"entertains by providing [[good]] , lively company .","entertains by providing [[undecomposed]] , lively company .",0.0,1.0,1,0,1,107,"Successful"
"too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance .","too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance .",0.0,0.0,0,0,0,122,"Failed"
"the film contains no good jokes , no good scenes , barely a moment when carvey 's saturday night live-honed mimicry rises above the level of embarrassment .","the film contains no good jokes , no good scenes , barely a moment when carvey 's saturday night live-honed mimicry rises above the level of embarrassment .",0.0,0.0,0,0,0,200,"Failed"
"a painfully funny ode to bad behavior .","a painfully funny ode to bad behavior .",1.0,1.0,0,0,1,1,"Skipped"
"it 's about [[following]] your dreams , no matter what your parents think .","it 's about [[surveil]] your dreams , no matter what your parents think .",0.0,1.0,1,0,1,82,"Successful"
"this is a shameless sham , calculated to cash in on the popularity of its stars .","this is a shameless sham , calculated to cash in on the popularity of its stars .",0.0,0.0,0,0,0,125,"Failed"
"the heavy-handed film is almost laughable as a consequence .","the heavy-handed film is almost laughable as a consequence .",0.0,0.0,0,0,0,98,"Failed"
"although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists .","although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists .",0.0,0.0,1,1,1,200,"Failed"
"i do n't think i laughed out loud once .","i do n't think i laughed out loud once .",0.0,0.0,0,0,0,69,"Failed"
"good old-fashioned slash-and-hack is [[back]] !","good old-fashioned slash-and-hack is [[backward]] !",0.0,1.0,1,0,1,89,"Successful"
"the tale of tok -lrb- andy lau -rrb- , a sleek sociopath on the trail of o -lrb- takashi sorimachi -rrb- , the most legendary of asian hitmen , is too scattershot to take hold .","the tale of tok -lrb- andy lau -rrb- , a sleek sociopath on the trail of o -lrb- takashi sorimachi -rrb- , the most legendary of asian hitmen , is too scattershot to take hold .",1.0,1.0,1,1,0,1,"Skipped"
"richard gere and diane lane put in [[fine]] performances as does french actor oliver martinez .","richard gere and diane lane put in [[amercement]] performances as does french actor oliver martinez .",0.0,1.0,1,0,1,60,"Successful"
"to say this was done better in wilder 's some like it hot is like saying the sun rises in the east .","to say this was done better in wilder 's some like it hot is like saying the sun rises in the east .",0.0,0.0,0,0,0,200,"Failed"
"it provides an honest look at a community striving to [[anchor]] itself in new grounds .","it provides an honest look at a community striving to [[lynchpin]] itself in new grounds .",0.0,1.0,1,0,1,103,"Successful"
"... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .","... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .",0.0,0.0,0,0,0,181,"Failed"
"the movie achieves as great an impact by keeping these thoughts hidden as ... -lrb- quills -rrb- did by showing them .","the movie achieves as great an impact by keeping these thoughts hidden as ... -lrb- quills -rrb- did by showing them .",1.0,1.0,0,0,1,1,"Skipped"
