"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .","may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .",0.0,0.0,0,0,0,100,"Failed"
"the lower your expectations , the more you 'll enjoy it .","the lower your expectations , the more you 'll enjoy it .",0.0,0.0,0,0,0,86,"Failed"
"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .","the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .",0.0,0.0,0,0,0,100,"Failed"
"it treats women like idiots .","it treats women like idiots .",0.0,0.0,0,0,0,67,"Failed"
"all that 's missing is the spontaneity , originality and delight .","all that 's missing is the spontaneity , originality and delight .",0.0,0.0,0,0,0,57,"Failed"
"it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic .","it 's too self-important and plodding to be funny , and too clipped and abbreviated to be an epic .",0.0,0.0,0,0,0,100,"Failed"
"one of the most significant moviegoing pleasures of the year .","one of the most significant moviegoing pleasures of the year .",1.0,1.0,0,0,1,1,"Skipped"
"nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle .","nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle .",0.0,0.0,0,0,0,100,"Failed"
"directed in a paint-by-numbers manner .","directed in a paint-by-numbers manner .",0.0,0.0,0,0,0,62,"Failed"
"you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this .","you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this .",0.0,0.0,0,0,0,100,"Failed"
"a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going .","a dumb movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going .",0.0,0.0,0,0,0,100,"Failed"
"... the movie is just a plain old monster .","... the movie is just a plain old monster .",0.0,0.0,0,0,0,100,"Failed"
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .","this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .",1.0,1.0,0,0,1,1,"Skipped"
"rarely has so much money delivered so little entertainment .","rarely has so much money delivered so little entertainment .",0.0,0.0,0,0,0,73,"Failed"
"an effectively creepy , fear-inducing -lrb- not fear-reducing -rrb- film from japanese director hideo nakata , who takes the superstitious curse on chain letters and actually applies it .","an effectively creepy , fear-inducing -lrb- not fear-reducing -rrb- film from japanese director hideo nakata , who takes the superstitious curse on chain letters and actually applies it .",1.0,1.0,0,0,1,1,"Skipped"
"at its [[best]] , queen is campy fun like the vincent price horror classics of the '60s .","at its [[Best]] , queen is campy fun like the vincent price horror classics of the '60s .",0.0,1.0,1,0,1,100,"Successful"
"it 's just filler .","it 's just filler .",0.0,0.0,0,0,0,4,"Failed"
"but it 's too long and too convoluted and it ends in a muddle .","but it 's too long and too convoluted and it ends in a muddle .",0.0,0.0,0,0,0,100,"Failed"
"the film is quiet , threatening and unforgettable .","the film is quiet , threatening and unforgettable .",1.0,1.0,0,0,1,1,"Skipped"
"fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .","fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .",1.0,1.0,0,0,1,1,"Skipped"
"this is n't even madonna 's swept away .","this is n't even madonna 's swept away .",0.0,0.0,0,0,0,64,"Failed"
"an exquisitely [[crafted]] and acted tale .","an exquisitely [[craft]] and acted tale .",0.0,1.0,1,0,1,27,"Successful"
"scorsese does n't give us a character worth giving a damn about .","scorsese does n't give us a character worth giving a damn about .",0.0,0.0,0,0,0,100,"Failed"
"if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever .","if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever .",0.0,0.0,0,0,0,100,"Failed"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor .","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor .",0.0,0.0,0,0,0,100,"Failed"
