"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Title: <SPLIT>Description: Students crazy about iPod follow the music to Apple laptops (USATODAY.com) USATODAY.com - [[Apple's]] trendy iPod digital music player, which has revitalized the company, is giving laptop sales a boost during back-to-school season.","Title: <SPLIT>Description: Students crazy about iPod follow the music to Apple laptops (USATODAY.com) USATODAY.com - [[Alple's]] trendy iPod digital music player, which has revitalized the company, is giving laptop sales a boost during back-to-school season.",0.2276073694229126,0.30761581659317017,3,3,3,200,"Failed"
"Title: <SPLIT>Description: [[Golf]]: Woods #39; bitter sip from cup MICHIGAN - Tiger Woods finished the 35th Ryder Cup on a personal winning note in the last-day singles, but the enigma of his relationship with the biennial team competition remains.","Title: <SPLIT>Description: [[Glof]]: Woods #39; bitter sip from cup MICHIGAN - Tiger Woods finished the 35th Ryder Cup on a personal winning note in the last-day singles, but the enigma of his relationship with the biennial team competition remains.",0.23130983114242554,0.5770779848098755,1,1,1,200,"Failed"
"Title: <SPLIT>Description: CSKA sponsor rejects criticism RUSSIAN oil giant Sibneft today rejected any suggestion of a conflict of interest existing between Chelsea and CSKA Moscow who are due to meet in the Champions League.","Title: <SPLIT>Description: CSKA sponsor rejects criticism RUSSIAN oil giant Sibneft today rejected any suggestion of a conflict of interest existing between Chelsea and CSKA Moscow who are due to meet in the Champions League.",0.5721579790115356,0.5721579790115356,2,2,1,1,"Skipped"
"Title: <SPLIT>Description: [[Lawmakers]] give the space agency greater flexibility in its new &lt;b&gt;...&lt;/b&gt; After a year of wrangling over NASA #39;s \$16.2 billion budget, lawmakers have delivered in a big way, giving the space agency its full funding request and unprecedented spending flexibility.","Title: <SPLIT>Description: [[Lamwakers]] give the space agency greater flexibility in its new &lt;b&gt;...&lt;/b&gt; After a year of wrangling over NASA #39;s \$16.2 billion budget, lawmakers have delivered in a big way, giving the space agency its full funding request and unprecedented spending flexibility.",0.2243543267250061,0.35139966011047363,3,3,3,200,"Failed"
"Title: <SPLIT>Description: [[Sports]] Calendar Bolton Over-30 women's soccer. The Close-To-Home soccer league is looking for female players 30 and olderver for the fall season for a team in the Bolton area. Interested candidates can expect refereed games, a friendly atmosphere, and renewal of basic skills. All levels of experience welcomed. Contact Miriam Kandansky at 781-442-0750 or through e-mail at Miriam.Kadanskysun.com for more details.","Title: <SPLIT>Description: [[Sporgs]] Calendar Bolton Over-30 women's soccer. The Close-To-Home soccer league is looking for female players 30 and olderver for the fall season for a team in the Bolton area. Interested candidates can expect refereed games, a friendly atmosphere, and renewal of basic skills. All levels of experience welcomed. Contact Miriam Kandansky at 781-442-0750 or through e-mail at Miriam.Kadanskysun.com for more details.",0.16289204359054565,0.5875763893127441,1,0,1,200,"Successful"
"Title: <SPLIT>Description: [[Election]] chaos? (U.S. News   World Report) U.S. News   World Report - Michael Cadigan's day job is practicing commercial law in Albuquerque. But over eggs at the trendy Gold Street Caffe in the heart of downtown, he and a dozen other lawyers are immersing themselves in the intricacies of election law. On Election Day, they plan to be out in force for Democrat John Kerry at polling places across New Mexico, where Al Gore won in 2000 by just 366 votes.  quot;We know there was a lot of monkey business with counting ballots before, quot; says Cadigan.  quot;We want to make sure that doesn't happen again. ...","Title: <SPLIT>Description: [[Electikn]] chaos? (U.S. News   World Report) U.S. News   World Report - Michael Cadigan's day job is practicing commercial law in Albuquerque. But over eggs at the trendy Gold Street Caffe in the heart of downtown, he and a dozen other lawyers are immersing themselves in the intricacies of election law. On Election Day, they plan to be out in force for Democrat John Kerry at polling places across New Mexico, where Al Gore won in 2000 by just 366 votes.  quot;We know there was a lot of monkey business with counting ballots before, quot; says Cadigan.  quot;We want to make sure that doesn't happen again. ...",0.030352473258972168,0.27556830644607544,0,0,0,200,"Failed"
"Title: <SPLIT>Description: Pollsters refuse to write off [[Australian]] PM despite lag in polls (AFP) AFP - Opinion polls give Australia's opposition Labor Party a big lead over Prime Minister John Howard's conservative government as campaigning begins for October 9 elections, but analysts say the real race is still too close to call.","Title: <SPLIT>Description: Pollsters refuse to write off [[Auqtralian]] PM despite lag in polls (AFP) AFP - Opinion polls give Australia's opposition Labor Party a big lead over Prime Minister John Howard's conservative government as campaigning begins for October 9 elections, but analysts say the real race is still too close to call.",0.4544857144355774,0.6579381227493286,0,2,0,200,"Successful"
"Title: <SPLIT>Description: Westwood up for challenge The course is a back-breaking 7,800 yards long off the tips, the rough is up, it #39;s 100F out there, the greens are fast and firm and refusing to hold, and yesterday there was a tricky wind to contend with.","Title: <SPLIT>Description: Westwood up for challenge The course is a back-breaking 7,800 yards long off the tips, the rough is up, it #39;s 100F out there, the greens are fast and firm and refusing to hold, and yesterday there was a tricky wind to contend with.",0.9074535965919495,0.9074535965919495,3,3,1,1,"Skipped"
"Title: <SPLIT>Description: NKorea warns Japan against economic [[sanctions]] North Korea has warned Japan that it will treat economic sanctions as a  quot;declaration of war quot; and threatens to try to exclude Tokyo from six-party talks on Pyongyang #39;s nuclear arms programs.","Title: <SPLIT>Description: NKorea warns Japan against economic [[sancMtions]] North Korea has warned Japan that it will treat economic sanctions as a  quot;declaration of war quot; and threatens to try to exclude Tokyo from six-party talks on Pyongyang #39;s nuclear arms programs.",0.06428253650665283,0.16612732410430908,0,0,0,200,"Failed"
"Title: <SPLIT>Description: Barca wins again Barcelona has moved 12 points clear at the top of Spain #39;s Primera Liga [[thanks]] to a 2-1 win at Albacete. Andres Iniesta put Barca ahead after just two minutes, but when Mark Gonzalez made it 1-1 with 17 minutes ","Title: <SPLIT>Description: Barca wins again Barcelona has moved 12 points clear at the top of Spain #39;s Primera Liga [[thanis]] to a 2-1 win at Albacete. Andres Iniesta put Barca ahead after just two minutes, but when Mark Gonzalez made it 1-1 with 17 minutes ",0.04580658674240112,0.11535537242889404,1,1,1,200,"Failed"
