"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[may]] [[reawaken]] [[discussion]] of the [[kennedy]] assassination but this fictional [[film]] [[looks]] [[made]] for [[cable]] [[rather]] than for the big [[screen]] .","[[amy]] [[reawakne]] [[dqiscussion]] of the [[kenned]] assassination but this fictional [[fiAlm]] [[look]] [[mace]] for [[Nable]] [[rathre]] than for the big [[sVreen]] .",8.094310760498047e-05,0.004198849201202393,0,0,0,66,"Failed"
"the [[lower]] your [[expectations]] , the more you 'll [[enjoy]] it .","the [[ower]] your [[expeQtations]] , the more you 'll [[eCnjoy]] it .",0.00039511919021606445,0.4130035638809204,0,0,0,16,"Failed"
"the movie is what happens when you [[blow]] up small potatoes to 10 times their [[natural]] [[size]] , and it [[ai]] [[n't]] [[pretty]] .","the movie is what happens when you [[glow]] up small potatoes to 10 times their [[naltural]] [[ize]] , and it [[ia]] [[E't]] [[predtty]] .",5.328655242919922e-05,0.270480215549469,0,0,0,61,"Failed"
"it [[treats]] [[women]] [[like]] [[idiots]] .","it [[tSeats]] [[womUn]] [[fike]] [[idPiots]] .",6.103515625e-05,0.0009697675704956055,0,0,0,21,"Failed"
"all that 's missing is the spontaneity , originality and delight .","all that 's missing is the spontaneity , originality and delight .",0.009055256843566895,0.009055256843566895,0,0,0,21,"Failed"
"it 's too [[self-important]] and [[plodding]] to be [[funny]] , and too [[clipped]] and [[abbreviated]] to be an [[epic]] .","it 's too [[sel-fimportant]] and [[podding]] to be [[funnP]] , and too [[lcipped]] and [[abbreviaTted]] to be an [[epiZ]] .",4.696846008300781e-05,0.0009254217147827148,0,0,0,31,"Failed"
"one of the most significant [[moviegoing]] [[pleasures]] of the year .","one of the most significant [[movXegoing]] [[pelasures]] of the year .",0.07107365131378174,0.9039745330810547,1,0,1,14,"Successful"
"[[nelson]] 's [[brutally]] unsentimental approach ... [[sucks]] the [[humanity]] from the [[film]] , [[leaving]] [[behind]] an [[horrific]] but [[weirdly]] [[unemotional]] [[spectacle]] .","[[nTelson]] 's [[bruNtally]] unsentimental approach ... [[sukcs]] the [[humaniyt]] from the [[fiBlm]] , [[leavig]] [[beVind]] an [[hrorific]] but [[welrdly]] [[unemotoinal]] [[specjtacle]] .",0.00025409460067749023,0.1540575623512268,0,0,0,66,"Failed"
"[[directed]] in a [[paint-by-numbers]] [[manner]] .","[[directOed]] in a [[paint-by-nuambers]] [[mannTer]] .",0.00015115737915039062,0.0031975507736206055,0,0,0,15,"Failed"
"you [[really]] have to [[wonder]] how on [[earth]] [[anyone]] , anywhere [[could]] have [[thought]] they 'd [[make]] [[audiences]] guffaw with a [[script]] as [[utterly]] [[diabolical]] as this .","you [[erally]] have to [[woder]] how on [[earxth]] [[anyUone]] , anywhere [[ould]] have [[thouht]] they 'd [[mDake]] [[adiences]] guffaw with a [[scriWpt]] as [[Butterly]] [[dKabolical]] as this .",4.661083221435547e-05,0.0014778971672058105,0,0,0,65,"Failed"
