"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's about following your dreams , no matter what your parents think .","it 's about following your dreams , no matter what your parents think .",0.8475461602210999,0.8475461602210999,0,0,1,1,"Skipped"
"a wildly [[inconsistent]] emotional experience .","a wildly [[inconaistent]] emotional experience .",0.02856987714767456,0.8444527983665466,0,1,0,200,"Successful"
"` de [[niro]] ... is a veritable source of sincere passion that this hollywood contrivance orbits around . '","` de [[nBiro]] ... is a veritable source of sincere passion that this hollywood contrivance orbits around . '",0.3488449454307556,0.9708235859870911,1,0,1,200,"Successful"
"far more [[imaginative]] and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series .","far more [[imaginahtive]] and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series .",0.4952567219734192,0.9988194704055786,1,0,1,200,"Successful"
"for the most [[part]] , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama .","for the most [[paRrt]] , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama .",0.4351855516433716,0.9990711808204651,1,0,1,200,"Successful"
"i do n't [[mind]] having my heartstrings pulled , but do n't treat me like a fool .","i do n't [[mTind]] having my heartstrings pulled , but do n't treat me like a fool .",0.013546645641326904,0.013546645641326904,0,0,0,174,"Failed"
"manages to transcend the sex , drugs and show-tunes plot into something far richer .","manages to transcend the sex , drugs and show-tunes plot into something far richer .",0.9797219038009644,0.9797219038009644,0,0,1,1,"Skipped"
"the [[action]] switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .","the [[actin]] switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .",0.007938504219055176,0.9277390241622925,0,1,0,200,"Successful"
"good old-fashioned slash-and-hack is back !","good old-fashioned slash-and-hack is back !",0.6219495534896851,0.6219495534896851,0,0,1,1,"Skipped"
"this movie is [[maddening]] .","this movie is [[maddeming]] .",0.013331174850463867,0.972343385219574,0,1,0,77,"Successful"
"if you can stomach the rough content , it 's worth checking out for the performances alone .","if you can stomach the rough content , it 's worth checking out for the performances alone .",0.9930988550186157,0.9930988550186157,0,0,1,1,"Skipped"
"a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work .","a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work .",0.9988932609558105,0.9988932609558105,0,0,1,1,"Skipped"
"atom egoyan has conjured up a multilayered work that tackles any number of fascinating issues","atom egoyan has conjured up a multilayered work that tackles any number of fascinating issues",0.9389119744300842,0.9389119744300842,0,0,1,1,"Skipped"
"the [[movie]] is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .","the [[mogie]] is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .",0.05916786193847656,0.2013622522354126,0,0,0,200,"Failed"
"mr. tsai is a very original artist in his medium , and what time is it there ?","mr. tsai is a very original artist in his medium , and what time is it there ?",0.9983972907066345,0.9983972907066345,0,0,1,1,"Skipped"
"leigh 's [[film]] is full of memorable performances from top to bottom .","leigh 's [[fiQlm]] is full of memorable performances from top to bottom .",0.2982727885246277,0.998579204082489,1,0,1,200,"Successful"
"with [[virtually]] no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .","with [[virtuaily]] no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .",0.011253893375396729,0.38625460863113403,0,0,0,200,"Failed"
"it 's a remarkably solid and subtly satirical tour de force .","it 's a remarkably solid and subtly satirical tour de force .",0.8797293901443481,0.8797293901443481,0,0,1,1,"Skipped"
"-lrb- a -rrb- n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s .","-lrb- a -rrb- n utterly charming and hilarious film that reminded me of the best of the disney comedies from the 60s .",0.9550973176956177,0.9550973176956177,0,0,1,1,"Skipped"
"it takes [[talent]] to make a lifeless movie about the most heinous man who ever lived .","it takes [[talemt]] to make a lifeless movie about the most heinous man who ever lived .",0.03924661874771118,0.26519763469696045,0,0,0,200,"Failed"
"oscar wilde 's masterpiece , the importance of being earnest , may be the best play of the 19th century .","oscar wilde 's masterpiece , the importance of being earnest , may be the best play of the 19th century .",0.5252348184585571,0.5252348184585571,0,0,1,1,"Skipped"
"what was once [[original]] has been co-opted so frequently that it now seems pedestrian .","what was once [[origial]] has been co-opted so frequently that it now seems pedestrian .",0.005405008792877197,0.18955093622207642,0,0,0,200,"Failed"
"... [[plays]] like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller .","... [[plWays]] like somebody spliced random moments of a chris rock routine into what is otherwise a cliche-riddled but self-serious spy thriller .",0.08315765857696533,0.6746503114700317,0,1,0,200,"Successful"
"candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .","candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .",0.7572859525680542,0.7572859525680542,0,0,1,1,"Skipped"
"the film is quiet , threatening and unforgettable .","the film is quiet , threatening and unforgettable .",0.9983385801315308,0.9983385801315308,0,0,1,1,"Skipped"
