"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[one]] [[long]] string of [[cliches]] .","[[unitary]] [[prospicient]] string of [[bromide]] .",0.00634765625,0.28125,0,0,0,81,"Failed"
"if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever .","if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever .",0.00244140625,0.00244140625,0,0,0,100,"Failed"
"k-19 exploits our substantial collective fear of nuclear holocaust to generate [[cheap]] hollywood tension .","k-19 exploits our substantial collective fear of nuclear holocaust to generate [[punk]] hollywood tension .",0.00341796875,0.037109375,0,0,0,100,"Failed"
"it 's played in the most straight-faced fashion , with [[little]] humor to lighten things up .","it 's played in the most straight-faced fashion , with [[slight]] humor to lighten things up .",0.0009765625,0.88232421875,0,1,0,71,"Successful"
"there is a fabric of complex [[ideas]] here , and feelings that profoundly deepen them .","there is a fabric of complex [[estimate]] here , and feelings that profoundly deepen them .",0.2451171875,0.8740234375,1,0,1,44,"Successful"
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .","although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .",0.00732421875,0.00732421875,1,1,1,100,"Failed"
"it all [[feels]] like a monty python sketch gone horribly wrong .","it all [[find]] like a monty python sketch gone horribly wrong .",0.00048828125,0.00244140625,0,0,0,100,"Failed"
"it 's a stunning lyrical [[work]] of considerable [[force]] and truth .","it 's a stunning lyrical [[wreak]] of considerable [[coerce]] and truth .",0.00146484375,0.85009765625,1,0,1,100,"Successful"
"however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .","however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .",0.00634765625,0.00634765625,0,0,0,100,"Failed"
"broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .","broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .",0.10498046875,0.10498046875,1,1,1,100,"Failed"
"although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists .","although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists .",0.5234375,0.5234375,0,0,1,1,"Skipped"
"a very well-made , [[funny]] and entertaining picture .","a very well-made , [[suspect]] and entertaining picture .",0.0009765625,0.80810546875,1,0,1,73,"Successful"
"a valueless kiddie [[paean]] to pro basketball [[underwritten]] by the nba .","a valueless kiddie [[pean]] to pro basketball [[cover]] by the nba .",0.00146484375,0.01708984375,0,0,0,30,"Failed"
"all the amped-up tony hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , [[really]] , we 've been here , [[done]] that .","all the amped-up tony hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , [[genuinely]] , we 've been here , [[coiffure]] that .",0.00341796875,0.078125,0,0,0,100,"Failed"
"a swashbuckling tale of love , betrayal , revenge and above all , [[faith]] .","a swashbuckling tale of love , betrayal , revenge and above all , [[religion]] .",0.236328125,0.8291015625,1,0,1,40,"Successful"
"there ought to be a [[directing]] [[license]] , so that ed [[burns]] can have his [[revoked]] .","there ought to be a [[conduct]] [[permit]] , so that ed [[burning]] can have his [[lift]] .",0.015625,0.2421875,0,0,0,100,"Failed"
"a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .","a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .",0.009765625,0.009765625,1,1,1,100,"Failed"
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .","on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .",0.0068359375,0.0068359375,1,1,1,100,"Failed"
"macdowell , whose wifty southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .","macdowell , whose wifty southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .",0.03955078125,0.03955078125,1,1,1,100,"Failed"
"the jabs it employs are [[short]] , carefully placed and dead-center .","the jabs it employs are [[inadequate]] , carefully placed and dead-center .",0.01953125,0.9775390625,1,0,1,96,"Successful"
"despite its title , punch-drunk love is never [[heavy-handed]] .","despite its title , punch-drunk love is never [[left-handed]] .",0.291015625,0.98291015625,1,0,1,51,"Successful"
"at once [[half-baked]] and [[overheated]] .","at once [[crazy]] and [[overheat]] .",0.0029296875,0.0400390625,0,0,0,13,"Failed"
