"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"one long string of cliches .","one long string of cliches .",0.006192982196807861,0.006192982196807861,0,0,0,1,"Failed"
"if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever .","if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever .",0.0023230910301208496,0.0023230910301208496,0,0,0,1,"Failed"
"k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension .","k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension .",0.0032731294631958008,0.0032731294631958008,0,0,0,1,"Failed"
"it 's played in the most straight-faced fashion , with little humor to lighten things up .","it 's played in the most straight-faced fashion , with little humor to lighten things up .",0.0008693337440490723,0.0008693337440490723,0,0,0,1,"Failed"
"there is a fabric of complex ideas here , and feelings that profoundly deepen them .","there is a fabric of complex ideas here , and feelings that profoundly deepen them .",0.2450850009918213,0.2450850009918213,1,1,1,1,"Failed"
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .","although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .",0.007232785224914551,0.007232785224914551,1,1,1,1,"Failed"
"it all feels like a monty python sketch gone horribly wrong .","it all feels like a monty python sketch gone horribly wrong .",0.0005112886428833008,0.0005112886428833008,0,0,0,1,"Failed"
"it 's a stunning lyrical work of considerable force and truth .","it 's a stunning lyrical work of considerable force and truth .",0.0012449026107788086,0.0012449026107788086,1,1,1,1,"Failed"
"however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .","however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .",0.0064882636070251465,0.0064882636070251465,0,0,0,1,"Failed"
"broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .","broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .",0.10521054267883301,0.10521054267883301,1,1,1,1,"Failed"
"although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists .","although german cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists .",0.5234203338623047,0.5234203338623047,0,0,1,1,"Skipped"
"a very well-made , funny and entertaining picture .","a very well-made , funny and entertaining picture .",0.0011879205703735352,0.0011879205703735352,1,1,1,1,"Failed"
"a valueless kiddie paean to pro basketball underwritten by the nba .","a valueless kiddie paean to pro basketball underwritten by the nba .",0.0015730857849121094,0.0015730857849121094,0,0,0,1,"Failed"
"all the amped-up tony hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , really , we 've been here , done that .","all the amped-up tony hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , really , we 've been here , done that .",0.003222525119781494,0.003222525119781494,0,0,0,1,"Failed"
"a swashbuckling tale of love , betrayal , revenge and above all , faith .","a swashbuckling tale of love , betrayal , revenge and above all , faith .",0.2365162968635559,0.2365162968635559,1,1,1,1,"Failed"
"there ought to be a directing license , so that ed burns can have his revoked .","there ought to be a directing license , so that ed burns can have his revoked .",0.015424609184265137,0.015424609184265137,0,0,0,1,"Failed"
"a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .","a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .",0.0097084641456604,0.0097084641456604,1,1,1,1,"Failed"
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .","on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .",0.00690382719039917,0.00690382719039917,1,1,1,1,"Failed"
"macdowell , whose wifty southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .","macdowell , whose wifty southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .",0.03963881731033325,0.03963881731033325,1,1,1,1,"Failed"
"the jabs it employs are short , carefully placed and dead-center .","the jabs it employs are short , carefully placed and dead-center .",0.019419312477111816,0.019419312477111816,1,1,1,1,"Failed"
"despite its title , punch-drunk love is never heavy-handed .","despite its title , punch-drunk love is never heavy-handed .",0.29098087549209595,0.29098087549209595,1,1,1,1,"Failed"
"at once half-baked and overheated .","at once half-baked and overheated .",0.002736210823059082,0.002736210823059082,0,0,0,1,"Failed"
"this is a shameless sham , calculated to cash in on the popularity of its stars .","this is a shameless sham , calculated to cash in on the popularity of its stars .",0.0017546415328979492,0.0017546415328979492,0,0,0,1,"Failed"
"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot .","jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot .",0.01883310079574585,0.01883310079574585,0,0,0,1,"Failed"
"people cinema at its finest .","people cinema at its finest .",0.007232785224914551,0.007232785224914551,1,1,1,1,"Failed"
"` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . '","` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . '",0.34510529041290283,0.34510529041290283,1,1,1,1,"Failed"
"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .","if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",0.024053573608398438,0.024053573608398438,0,0,0,1,"Failed"
"candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .","candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .",0.004070103168487549,0.004070103168487549,1,1,1,1,"Failed"
"more romantic , more emotional and ultimately more satisfying than the teary-eyed original .","more romantic , more emotional and ultimately more satisfying than the teary-eyed original .",0.016403019428253174,0.016403019428253174,1,1,1,1,"Failed"
"it offers little beyond the momentary joys of pretty and weightless intellectual entertainment .","it offers little beyond the momentary joys of pretty and weightless intellectual entertainment .",0.0005615353584289551,0.0005615353584289551,0,0,0,1,"Failed"
"it 's a remarkably solid and subtly satirical tour de force .","it 's a remarkably solid and subtly satirical tour de force .",0.0013044476509094238,0.0013044476509094238,1,1,1,1,"Failed"
"coughs and sputters on its own postmodern conceit .","coughs and sputters on its own postmodern conceit .",0.007577240467071533,0.007577240467071533,0,0,0,1,"Failed"
"with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .","with virtually no interesting elements for an audience to focus on , chelsea walls is a triple-espresso endurance challenge .",0.01912403106689453,0.01912403106689453,0,0,0,1,"Failed"
"lovely and poignant .","lovely and poignant .",0.013636887073516846,0.013636887073516846,1,1,1,1,"Failed"
"at times , the suspense is palpable , but by the end there 's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential .","at times , the suspense is palpable , but by the end there 's a sense that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential .",0.005554854869842529,0.005554854869842529,0,0,0,1,"Failed"
"... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause .","... a boring parade of talking heads and technical gibberish that will do little to advance the linux cause .",0.0004305243492126465,0.0004305243492126465,0,0,0,1,"Failed"
"paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface .","paid in full is so stale , in fact , that its most vibrant scene is one that uses clips from brian de palma 's scarface .",0.013020515441894531,0.013020515441894531,0,0,0,1,"Failed"
"american chai encourages rueful laughter at stereotypes only an indian-american would recognize .","american chai encourages rueful laughter at stereotypes only an indian-american would recognize .",0.3557748794555664,0.3557748794555664,0,0,0,1,"Failed"
"visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .","visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .",0.006797492504119873,0.006797492504119873,1,1,1,1,"Failed"
"directed in a paint-by-numbers manner .","directed in a paint-by-numbers manner .",0.004399418830871582,0.004399418830871582,0,0,0,1,"Failed"
"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second .","the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second .",0.032589733600616455,0.032589733600616455,0,0,0,1,"Failed"
"detox is ultimately a pointless endeavor .","detox is ultimately a pointless endeavor .",0.00048029422760009766,0.00048029422760009766,0,0,0,1,"Failed"
"despite all evidence to the contrary , this clunker has somehow managed to pose as an actual feature movie , the kind that charges full admission and gets hyped on tv and purports to amuse small children and ostensible adults .","despite all evidence to the contrary , this clunker has somehow managed to pose as an actual feature movie , the kind that charges full admission and gets hyped on tv and purports to amuse small children and ostensible adults .",0.002631664276123047,0.002631664276123047,0,0,0,1,"Failed"
"so unremittingly awful that labeling it a dog probably constitutes cruelty to canines .","so unremittingly awful that labeling it a dog probably constitutes cruelty to canines .",0.001782238483428955,0.001782238483428955,0,0,0,1,"Failed"
"i just loved every minute of this film .","i just loved every minute of this film .",0.0008830428123474121,0.0008830428123474121,1,1,1,1,"Failed"
"the film contains no good jokes , no good scenes , barely a moment when carvey 's saturday night live-honed mimicry rises above the level of embarrassment .","the film contains no good jokes , no good scenes , barely a moment when carvey 's saturday night live-honed mimicry rises above the level of embarrassment .",0.0006878376007080078,0.0006878376007080078,0,0,0,1,"Failed"
"to say this was done better in wilder 's some like it hot is like saying the sun rises in the east .","to say this was done better in wilder 's some like it hot is like saying the sun rises in the east .",0.044018685817718506,0.044018685817718506,0,0,0,1,"Failed"
"the longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes .","the longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes .",0.06097519397735596,0.06097519397735596,0,0,0,1,"Failed"
"they should have called it gutterball .","they should have called it gutterball .",0.004681885242462158,0.004681885242462158,0,0,0,1,"Failed"
"it 's a bit disappointing that it only manages to be decent instead of dead brilliant .","it 's a bit disappointing that it only manages to be decent instead of dead brilliant .",0.0019570589065551758,0.0019570589065551758,0,0,0,1,"Failed"
"that 's a cheat .","that 's a cheat .",0.010169684886932373,0.010169684886932373,0,0,0,1,"Failed"
"the title not only describes its main characters , but the lazy people behind the camera as well .","the title not only describes its main characters , but the lazy people behind the camera as well .",0.008985459804534912,0.008985459804534912,0,0,0,1,"Failed"
"i do n't think i laughed out loud once .","i do n't think i laughed out loud once .",0.002083003520965576,0.002083003520965576,0,0,0,1,"Failed"
"may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .","may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .",0.002631664276123047,0.002631664276123047,0,0,0,1,"Failed"
"taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .","taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .",0.0012066364288330078,0.0012066364288330078,0,0,0,1,"Failed"
"i am sorry that i was unable to get the full brunt of the comedy .","i am sorry that i was unable to get the full brunt of the comedy .",0.0018102526664733887,0.0018102526664733887,0,0,0,1,"Failed"
"the movie fails to live up to the sum of its parts .","the movie fails to live up to the sum of its parts .",0.0006878376007080078,0.0006878376007080078,0,0,0,1,"Failed"
"it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .","it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .",0.0020189881324768066,0.0020189881324768066,0,0,0,1,"Failed"
"here 's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep .","here 's yet another studio horror franchise mucking up its storyline with glitches casual fans could correct in their sleep .",0.00228726863861084,0.00228726863861084,0,0,0,1,"Failed"
"for anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of hell houses in particular , it 's an eye-opener .","for anyone unfamiliar with pentacostal practices in general and theatrical phenomenon of hell houses in particular , it 's an eye-opener .",0.6001883745193481,0.6001883745193481,0,0,1,1,"Skipped"
"if steven soderbergh 's ` solaris ' is a failure it is a glorious failure .","if steven soderbergh 's ` solaris ' is a failure it is a glorious failure .",0.8333246111869812,0.8333246111869812,0,0,1,1,"Skipped"
"there 's a wickedly subversive bent to the best parts of birthday girl .","there 's a wickedly subversive bent to the best parts of birthday girl .",0.6334102153778076,0.6334102153778076,0,0,1,1,"Skipped"
"while locals will get a kick out of spotting cleveland sites , the rest of the world will enjoy a fast-paced comedy with quirks that might make the award-winning coen brothers envious .","while locals will get a kick out of spotting cleveland sites , the rest of the world will enjoy a fast-paced comedy with quirks that might make the award-winning coen brothers envious .",0.014503538608551025,0.014503538608551025,1,1,1,1,"Failed"
"while -lrb- hill -rrb- has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film .","while -lrb- hill -rrb- has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film .",0.003123641014099121,0.003123641014099121,0,0,0,1,"Failed"
"this is the sort of burly action flick where one coincidence pummels another , narrative necessity is a drunken roundhouse , and whatever passes for logic is a factor of the last plot device left standing .","this is the sort of burly action flick where one coincidence pummels another , narrative necessity is a drunken roundhouse , and whatever passes for logic is a factor of the last plot device left standing .",0.02675926685333252,0.02675926685333252,0,0,0,1,"Failed"
"the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom .","the director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom .",0.008315801620483398,0.008315801620483398,0,0,0,1,"Failed"
"-lrb- a -rrb- shapeless blob of desperate entertainment .","-lrb- a -rrb- shapeless blob of desperate entertainment .",0.0036499500274658203,0.0036499500274658203,0,0,0,1,"Failed"
"dazzling in its complexity , disturbing for its extraordinary themes , the piano teacher is a film that defies categorisation .","dazzling in its complexity , disturbing for its extraordinary themes , the piano teacher is a film that defies categorisation .",0.19682621955871582,0.19682621955871582,1,1,1,1,"Failed"
"an exhilarating futuristic thriller-noir , minority report twists the best of technology around a gripping story , delivering a riveting , pulse intensifying escapist adventure of the first order","an exhilarating futuristic thriller-noir , minority report twists the best of technology around a gripping story , delivering a riveting , pulse intensifying escapist adventure of the first order",0.0014778971672058105,0.0014778971672058105,1,1,1,1,"Failed"
"this film seems thirsty for reflection , itself taking on adolescent qualities .","this film seems thirsty for reflection , itself taking on adolescent qualities .",0.12940269708633423,0.12940269708633423,0,0,0,1,"Failed"
"from the opening scenes , it 's clear that all about the benjamins is a totally formulaic movie .","from the opening scenes , it 's clear that all about the benjamins is a totally formulaic movie .",0.001325070858001709,0.001325070858001709,0,0,0,1,"Failed"
"it has all the excitement of eating oatmeal .","it has all the excitement of eating oatmeal .",0.02556520700454712,0.02556520700454712,0,0,0,1,"Failed"
