"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"one long string of cliches .","one long string of cliches .",0.0,0.0,0,0,0,21,"Failed"
"if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever .","if you 've ever entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever .",0.0,0.0,0,0,0,70,"Failed"
"k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension .","k-19 exploits our substantial collective fear of nuclear holocaust to generate cheap hollywood tension .",0.0,0.0,0,0,0,55,"Failed"
"it 's played in the most straight-faced fashion , with little humor to lighten things up .","it 's played in the most straight-faced fashion , with little humor to lighten things up .",0.0,0.0,0,0,0,36,"Failed"
"there is a [[fabric]] of complex ideas here , and feelings that profoundly deepen them .","there is a [[abric]] of complex ideas here , and feelings that profoundly deepen them .",0.0,1.0,1,0,1,11,"Successful"
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .","although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .",0.0,0.0,1,1,1,55,"Failed"
"it all feels like a monty python sketch gone horribly wrong .","it all feels like a monty python sketch gone horribly wrong .",0.0,0.0,0,0,0,41,"Failed"
"it 's a stunning lyrical work of considerable force and truth .","it 's a stunning lyrical work of considerable force and truth .",0.0,0.0,1,1,1,31,"Failed"
"however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .","however it may please those who love movies that blare with pop songs , young science fiction fans will stomp away in disgust .",0.0,0.0,0,0,0,76,"Failed"
"broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .","broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .",0.0,0.0,1,1,1,57,"Failed"
"although [[german]] cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists .","although [[gMrman]] cooking does not come readily to mind when considering the world 's best cuisine , mostly martha could make deutchland a popular destination for hungry tourists .",0.0,1.0,1,0,1,28,"Successful"
"a very well-made , funny and entertaining picture .","a very well-made , funny and entertaining picture .",0.0,0.0,1,1,1,21,"Failed"
"a valueless kiddie paean to pro basketball underwritten by the nba .","a valueless kiddie paean to pro basketball underwritten by the nba .",0.0,0.0,0,0,0,36,"Failed"
"all the amped-up tony hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , really , we 've been here , done that .","all the amped-up tony hawk-style stunts and thrashing rap-metal ca n't disguise the fact that , really , we 've been here , done that .",0.0,0.0,0,0,0,61,"Failed"
"a swashbuckling [[tale]] of love , betrayal , revenge and above all , faith .","a swashbuckling [[tael]] of love , betrayal , revenge and above all , faith .",0.0,1.0,1,0,1,15,"Successful"
"there ought to be a directing license , so that ed burns can have his revoked .","there ought to be a directing license , so that ed burns can have his revoked .",0.0,0.0,0,0,0,31,"Failed"
"a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .","a rigorously structured and exquisitely filmed drama about a father and son connection that is a brief shooting star of love .",0.0,0.0,1,1,1,60,"Failed"
"on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .","on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .",0.0,0.0,1,1,1,56,"Failed"
"macdowell , whose wifty southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .","macdowell , whose wifty southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .",0.0,0.0,1,1,1,66,"Failed"
"the jabs it employs are short , carefully placed and [[dead-center]] .","the jabs it employs are short , carefully placed and [[dead-cDenter]] .",0.0,1.0,1,0,1,30,"Successful"
"[[despite]] its title , punch-drunk love is never heavy-handed .","[[despIte]] its title , punch-drunk love is never heavy-handed .",0.0,1.0,1,0,1,11,"Successful"
"at once half-baked and overheated .","at once half-baked and overheated .",0.0,0.0,0,0,0,11,"Failed"
"this is a shameless sham , calculated to cash in on the popularity of its stars .","this is a shameless sham , calculated to cash in on the popularity of its stars .",0.0,0.0,0,0,0,31,"Failed"
"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot .","jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot .",0.0,0.0,0,0,0,76,"Failed"
"people cinema at its [[finest]] .","people cinema at its [[fDnest]] .",0.0,1.0,1,0,1,12,"Successful"
"` de [[niro]] ... is a veritable source of sincere passion that this hollywood contrivance orbits around . '","` de [[niNo]] ... is a veritable source of sincere passion that this hollywood contrivance orbits around . '",0.0,1.0,1,0,1,20,"Successful"
"if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .","if you believe any of this , i can make you a real deal on leftover enron stock that will double in value a week from friday .",0.0,0.0,0,0,0,56,"Failed"
"candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .","candid and comfortable ; a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work .",0.0,0.0,1,1,1,66,"Failed"
