"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"may [[reawaken]] discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .","may [[readaken]] discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .",8.094310760498047e-05,0.0001437664031982422,0,0,0,100,"Failed"
"the [[lower]] your expectations , the more you 'll enjoy it .","the [[llwer]] your expectations , the more you 'll enjoy it .",0.00039511919021606445,0.19436782598495483,0,0,0,100,"Failed"
"the [[movie]] is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .","the [[move]] is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .",5.328655242919922e-05,9.763240814208984e-05,0,0,0,100,"Failed"
"it treats women [[like]] idiots .","it treats women [[liSke]] idiots .",6.103515625e-05,0.0003446340560913086,0,0,0,100,"Failed"
"all that 's [[missing]] is the spontaneity , originality and delight .","all that 's [[midsing]] is the spontaneity , originality and delight .",0.009055256843566895,0.4941408634185791,0,0,0,100,"Failed"
"it 's too [[self-important]] and plodding to be funny , and too clipped and abbreviated to be an epic .","it 's too [[seGlf-important]] and plodding to be funny , and too clipped and abbreviated to be an epic .",4.696846008300781e-05,0.00012433528900146484,0,0,0,100,"Failed"
"one of the most significant moviegoing pleasures of the [[year]] .","one of the most significant moviegoing pleasures of the [[ySear]] .",0.07107365131378174,0.974821150302887,1,0,1,100,"Successful"
"nelson 's brutally unsentimental [[approach]] ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle .","nelson 's brutally unsentimental [[aplroach]] ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle .",0.00025409460067749023,0.0004157423973083496,0,0,0,100,"Failed"
"directed in a [[paint-by-numbers]] manner .","directed in a [[paint-by-nkmbers]] manner .",0.00015115737915039062,0.0024629831314086914,0,0,0,100,"Failed"
"you really have to [[wonder]] how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this .","you really have to [[woEnder]] how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this .",4.661083221435547e-05,7.939338684082031e-05,0,0,0,100,"Failed"
"a dumb movie with dumb characters doing dumb things and you have to be [[really]] dumb not to see where this is going .","a dumb movie with dumb characters doing dumb things and you have to be [[realSly]] dumb not to see where this is going .",6.73532485961914e-05,0.00020104646682739258,0,0,0,100,"Failed"
"... the movie is just a [[plain]] old monster .","... the movie is just a [[plWain]] old monster .",7.140636444091797e-05,0.0004494786262512207,0,0,0,83,"Failed"
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .","this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .",0.9974885582923889,0.9974885582923889,0,0,1,1,"Skipped"
"rarely has so much money delivered so [[little]] entertainment .","rarely has so much money delivered so [[liftle]] entertainment .",9.72747802734375e-05,0.016403019428253174,0,0,0,100,"Failed"
"an effectively creepy , fear-inducing -lrb- not fear-reducing -rrb- film from japanese director hideo nakata , who takes the superstitious curse on chain letters and actually applies it .","an effectively creepy , fear-inducing -lrb- not fear-reducing -rrb- film from japanese director hideo nakata , who takes the superstitious curse on chain letters and actually applies it .",0.9686195850372314,0.9686195850372314,0,0,1,1,"Skipped"
"at its best , queen is campy fun like the vincent price [[horror]] classics of the '60s .","at its best , queen is campy fun like the vincent price [[horrNor]] classics of the '60s .",0.3007456064224243,0.9845754504203796,1,0,1,100,"Successful"
"it 's just [[filler]] .","it 's just [[fuller]] .",0.0001590251922607422,0.007011830806732178,0,0,0,28,"Failed"
"but it 's too long and too convoluted and it [[ends]] in a muddle .","but it 's too long and too convoluted and it [[ehds]] in a muddle .",4.696846008300781e-05,0.00012242794036865234,0,0,0,100,"Failed"
"the film is quiet , threatening and unforgettable .","the film is quiet , threatening and unforgettable .",0.9394705891609192,0.9394705891609192,0,0,1,1,"Skipped"
"fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .","fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .",0.9995794296264648,0.9995794296264648,0,0,1,1,"Skipped"
"this is n't [[even]] madonna 's swept away .","this is n't [[een]] madonna 's swept away .",0.00035834312438964844,0.0022518038749694824,0,0,0,86,"Failed"
"an exquisitely [[crafted]] and acted tale .","an exquisitely [[cracted]] and acted tale .",0.034880876541137695,0.8902941942214966,1,0,1,100,"Successful"
"scorsese does n't give us a character [[worth]] giving a damn about .","scorsese does n't give us a character [[worfh]] giving a damn about .",3.361701965332031e-05,0.00013184547424316406,0,0,0,100,"Failed"
"if you 've ever entertained the notion of doing what the title of this film [[implies]] , what sex with strangers actually shows may put you off the idea forever .","if you 've ever entertained the notion of doing what the title of this film [[imJplies]] , what sex with strangers actually shows may put you off the idea forever .",0.00010395050048828125,0.00020498037338256836,0,0,0,100,"Failed"
"even horror fans will most likely not find what they 're [[seeking]] with trouble every day ; the movie lacks both thrills and humor .","even horror fans will most likely not find what they 're [[seekiJng]] with trouble every day ; the movie lacks both thrills and humor .",3.826618194580078e-05,6.473064422607422e-05,0,0,0,100,"Failed"
"an absurdist comedy about [[alienation]] , separation and loss .","an absurdist comedy about [[alienagion]] , separation and loss .",0.00307542085647583,0.0029121041297912598,0,0,0,100,"Failed"
"this one is definitely one to [[skip]] , even for horror movie fanatics .","this one is definitely one to [[sip]] , even for horror movie fanatics .",2.002716064453125e-05,0.47073662281036377,0,0,0,100,"Failed"
"[[even]] with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting .","[[een]] with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be posing , rather than acting .",0.0011159777641296387,0.00228726863861084,0,0,0,100,"Failed"
"[[wince-inducing]] dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty .","[[winc-einducing]] dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty .",0.0007762908935546875,0.0097084641456604,0,0,0,100,"Failed"
"it has all the [[excitement]] of eating oatmeal .","it has all the [[excietment]] of eating oatmeal .",0.0008167624473571777,0.06512749195098877,0,0,0,100,"Failed"
"it all feels like a monty python sketch gone horribly [[wrong]] .","it all feels like a monty python sketch gone horribly [[wfong]] .",1.9550323486328125e-05,9.059906005859375e-05,0,0,0,100,"Failed"
"exciting and direct , with ghost imagery that shows just enough to keep us on our [[toes]] .","exciting and direct , with ghost imagery that shows just enough to keep us on our [[tNoes]] .",0.3904758095741272,0.9768465757369995,1,0,1,100,"Successful"
"[[tries]] to add some spice to its quirky sentiments but the taste is all too familiar .","[[ties]] to add some spice to its quirky sentiments but the taste is all too familiar .",0.00032126903533935547,0.0009399056434631348,0,0,0,100,"Failed"
"what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts .","what distinguishes time of favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts .",0.8289388418197632,0.8289388418197632,0,0,1,1,"Skipped"
"this movie is [[maddening]] .","this movie is [[maxdening]] .",6.020069122314453e-05,0.01927119493484497,0,0,0,77,"Failed"
"i just [[loved]] every minute of this film .","i just [[loced]] every minute of this film .",0.06754672527313232,0.9996539950370789,1,0,1,88,"Successful"
"awesome [[creatures]] , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . '","awesome [[creatudes]] , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . '",0.2267836332321167,0.3293917179107666,1,1,1,100,"Failed"
"at least one scene is so disgusting that viewers may be hard [[pressed]] to retain their lunch .","at least one scene is so disgusting that viewers may be hard [[pessed]] to retain their lunch .",6.0558319091796875e-05,0.00023227930068969727,0,0,0,100,"Failed"
"there is no pleasure in watching a child [[suffer]] .","there is no pleasure in watching a child [[sfufer]] .",2.491474151611328e-05,0.00012052059173583984,0,0,0,100,"Failed"
