"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"may [[reawaken]] discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .","may [[raewaken]] discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .",0.0,0.0,0,0,0,200,"Failed"
"the [[lower]] your expectations , the more you 'll enjoy it .","the [[lSower]] your expectations , the more you 'll enjoy it .",0.0,1.0,0,1,0,118,"Successful"
"the [[movie]] is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .","the [[mBovie]] is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .",0.0,0.0,0,0,0,200,"Failed"
"it [[treats]] women like idiots .","it [[tdeats]] women like idiots .",0.0,0.0,0,0,0,100,"Failed"
"all that 's [[missing]] is the spontaneity , originality and delight .","all that 's [[mBissing]] is the spontaneity , originality and delight .",0.0,1.0,0,1,0,200,"Successful"
"it 's too [[self-important]] and plodding to be funny , and too clipped and abbreviated to be an epic .","it 's too [[sdlf-important]] and plodding to be funny , and too clipped and abbreviated to be an epic .",0.0,0.0,0,0,0,200,"Failed"
"one of the most significant moviegoing pleasures of the [[year]] .","one of the most significant moviegoing pleasures of the [[yeZar]] .",0.0,1.0,1,0,1,200,"Successful"
"[[nelson]] 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle .","[[nTelson]] 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle .",0.0,0.0,0,0,0,200,"Failed"
"directed in a [[paint-by-numbers]] manner .","directed in a [[pVaint-by-numbers]] manner .",0.0,1.0,0,1,0,169,"Successful"
"you [[really]] have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this .","you [[raelly]] have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this .",0.0,0.0,0,0,0,200,"Failed"
"a [[dumb]] movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going .","a [[dcumb]] movie with dumb characters doing dumb things and you have to be really dumb not to see where this is going .",0.0,0.0,0,0,0,200,"Failed"
"... the [[movie]] is just a plain old monster .","... the [[mIovie]] is just a plain old monster .",0.0,0.0,0,0,0,83,"Failed"
"this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .","this is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .",1.0,1.0,0,0,1,1,"Skipped"
"[[rarely]] has so much money delivered so little entertainment .","[[radely]] has so much money delivered so little entertainment .",0.0,0.0,0,0,0,200,"Failed"
"an effectively creepy , fear-inducing -lrb- not fear-reducing -rrb- film from japanese director hideo nakata , who takes the superstitious curse on chain letters and actually applies it .","an effectively creepy , fear-inducing -lrb- not fear-reducing -rrb- film from japanese director hideo nakata , who takes the superstitious curse on chain letters and actually applies it .",1.0,1.0,0,0,1,1,"Skipped"
"at its best , queen is campy fun like the vincent price horror [[classics]] of the '60s .","at its best , queen is campy fun like the vincent price horror [[cpassics]] of the '60s .",0.0,1.0,1,0,1,200,"Successful"
"it 's just [[filler]] .","it 's just [[fKiller]] .",0.0,0.0,0,0,0,28,"Failed"
"but it 's too [[long]] and too convoluted and it ends in a muddle .","but it 's too [[lNong]] and too convoluted and it ends in a muddle .",0.0,0.0,0,0,0,120,"Failed"
"the film is quiet , threatening and unforgettable .","the film is quiet , threatening and unforgettable .",1.0,1.0,0,0,1,1,"Skipped"
"fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .","fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .",1.0,1.0,0,0,1,1,"Skipped"
"this is n't [[even]] madonna 's swept away .","this is n't [[eben]] madonna 's swept away .",0.0,0.0,0,0,0,86,"Failed"
"an [[exquisitely]] crafted and acted tale .","an [[eGxquisitely]] crafted and acted tale .",0.0,0.0,1,1,1,147,"Failed"
"[[scorsese]] does n't give us a character worth giving a damn about .","[[scVorsese]] does n't give us a character worth giving a damn about .",0.0,0.0,0,0,0,184,"Failed"
"if you 've [[ever]] entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever .","if you 've [[eTver]] entertained the notion of doing what the title of this film implies , what sex with strangers actually shows may put you off the idea forever .",0.0,0.0,0,0,0,200,"Failed"
"even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacks]] both thrills and humor .","even horror fans will most likely not find what they 're seeking with trouble every day ; the movie [[lacDks]] both thrills and humor .",0.0,1.0,0,1,0,200,"Successful"
"an [[absurdist]] comedy about alienation , separation and loss .","an [[abQsurdist]] comedy about alienation , separation and loss .",0.0,0.0,0,0,0,200,"Failed"
"this one is definitely one to [[skip]] , even for horror movie fanatics .","this one is definitely one to [[sRkip]] , even for horror movie fanatics .",0.0,1.0,0,1,0,187,"Successful"
"even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be [[posing]] , rather than acting .","even with a green mohawk and a sheet of fire-red flame tattoos covering his shoulder , however , kilmer seems to be [[posig]] , rather than acting .",0.0,1.0,0,1,0,200,"Successful"
"[[wince-inducing]] dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty .","[[wiOnce-inducing]] dialogue , thrift-shop costumes , prosthetic makeup by silly putty and kmart blue-light-special effects all conspire to test trekkie loyalty .",0.0,0.0,0,0,0,200,"Failed"
"it has all the [[excitement]] of eating oatmeal .","it has all the [[exciRtement]] of eating oatmeal .",0.0,1.0,0,1,0,126,"Successful"
"it all [[feels]] like a monty python sketch gone horribly wrong .","it all [[fNeels]] like a monty python sketch gone horribly wrong .",0.0,0.0,0,0,0,197,"Failed"
"[[exciting]] and direct , with ghost imagery that shows just enough to keep us on our toes .","[[ecciting]] and direct , with ghost imagery that shows just enough to keep us on our toes .",0.0,0.0,1,1,1,200,"Failed"
"[[tries]] to add some spice to its quirky sentiments but the taste is all too familiar .","[[tUries]] to add some spice to its quirky sentiments but the taste is all too familiar .",0.0,0.0,0,0,0,200,"Failed"
"what distinguishes time of favor from [[countless]] other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts .","what distinguishes time of favor from [[cointless]] other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts .",0.0,1.0,1,0,1,200,"Successful"
"this movie is [[maddening]] .","this movie is [[maddeTning]] .",0.0,1.0,0,1,0,77,"Successful"
"i just [[loved]] every minute of this film .","i just [[loced]] every minute of this film .",0.0,1.0,1,0,1,88,"Successful"
"[[awesome]] creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . '","[[aNwesome]] creatures , breathtaking scenery , and epic battle scenes add up to another ` spectacular spectacle . '",0.0,0.0,1,1,1,200,"Failed"
"at [[least]] one scene is so disgusting that viewers may be hard pressed to retain their lunch .","at [[laest]] one scene is so disgusting that viewers may be hard pressed to retain their lunch .",0.0,0.0,0,0,0,200,"Failed"
"there is no [[pleasure]] in watching a child suffer .","there is no [[pPleasure]] in watching a child suffer .",0.0,0.0,0,0,0,153,"Failed"
"a [[bloated]] gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ...","a [[bioated]] gasbag thesis grotesquely impressed by its own gargantuan aura of self-importance ...",0.0,0.0,0,0,0,200,"Failed"
"[[complete]] lack of originality , cleverness or even visible effort","[[cPomplete]] lack of originality , cleverness or even visible effort",0.0,0.0,0,0,0,200,"Failed"
"at once [[half-baked]] and overheated .","at once [[haClf-baked]] and overheated .",0.0,0.0,0,0,0,124,"Failed"
"in [[execution]] , this clever idea is far less funny than the original , killers from space .","in [[ececution]] , this clever idea is far less funny than the original , killers from space .",0.0,0.0,0,0,0,200,"Failed"
"[[serving]] sara does n't serve up a whole lot of laughs .","[[sJerving]] sara does n't serve up a whole lot of laughs .",0.0,0.0,0,0,0,133,"Failed"
"[[confirms]] the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it .","[[cYonfirms]] the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it .",0.0,0.0,0,0,0,200,"Failed"
"teen movies have really hit the [[skids]] .","teen movies have really hit the [[sgkids]] .",0.0,1.0,0,1,0,96,"Successful"
"[[warm]] water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality .","[[waCrm]] water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality .",0.0,0.0,1,1,1,200,"Failed"
"it 's [[slow]] -- very , very slow .","it 's [[sHlow]] -- very , very slow .",0.0,0.0,0,0,0,27,"Failed"
"[[american]] chai encourages rueful laughter at stereotypes only an indian-american would recognize .","[[aZmerican]] chai encourages rueful laughter at stereotypes only an indian-american would recognize .",0.0,0.0,0,0,0,200,"Failed"
"[[smart]] , provocative and blisteringly funny .","[[samrt]] , provocative and blisteringly funny .",0.0,0.0,1,1,1,187,"Failed"
"a warm , funny , [[engaging]] film .","a warm , funny , [[enraging]] film .",0.0,1.0,1,0,1,98,"Successful"
"... routine , harmless diversion and little else .","... routine , harmless diversion and little else .",1.0,1.0,0,0,1,1,"Skipped"
"prurient playthings aside , there 's [[little]] to love about this english trifle .","prurient playthings aside , there 's [[liftle]] to love about this english trifle .",0.0,1.0,0,1,0,200,"Successful"
"one of the [[best]] films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals ... a psychological masterpiece .","one of the [[bcest]] films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals ... a psychological masterpiece .",0.0,0.0,1,1,1,200,"Failed"
"[[overall]] very good for what it 's trying to do .","[[oberall]] very good for what it 's trying to do .",0.0,0.0,1,1,1,79,"Failed"
"birthday girl is an amusing joy ride , with some surprisingly violent moments .","birthday girl is an amusing joy ride , with some surprisingly violent moments .",1.0,1.0,0,0,1,1,"Skipped"
"it 's about following your [[dreams]] , no matter what your parents think .","it 's about following your [[drdams]] , no matter what your parents think .",0.0,1.0,1,0,1,169,"Successful"
"[[puts]] a human face on a land most westerners are unfamiliar with .","[[phts]] a human face on a land most westerners are unfamiliar with .",0.0,1.0,1,0,1,190,"Successful"
"it [[provides]] the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot .","it [[pdovides]] the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot .",0.0,0.0,1,1,1,200,"Failed"
"because of an [[unnecessary]] and clumsy last scene , ` swimfan ' left me with a very bad feeling .","because of an [[uFnnecessary]] and clumsy last scene , ` swimfan ' left me with a very bad feeling .",0.0,0.0,0,0,0,200,"Failed"
"a [[valueless]] kiddie paean to pro basketball underwritten by the nba .","a [[vDalueless]] kiddie paean to pro basketball underwritten by the nba .",0.0,0.0,0,0,0,200,"Failed"
"the [[reality]] of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque .","the [[rZeality]] of the new live-action pinocchio he directed , cowrote and starred in borders on the grotesque .",0.0,0.0,0,0,0,200,"Failed"
"one of creepiest , scariest [[movies]] to come along in a long , long time , easily rivaling blair witch or the others .","one of creepiest , scariest [[mogies]] to come along in a long , long time , easily rivaling blair witch or the others .",0.0,1.0,1,0,1,200,"Successful"
"against all odds in heaven and hell , it creeped me out just fine .","against all odds in heaven and hell , it creeped me out just fine .",1.0,1.0,0,0,1,1,"Skipped"
"montias ... pumps a lot of energy into his nicely nuanced [[narrative]] and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .","montias ... pumps a lot of energy into his nicely nuanced [[nargative]] and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .",0.0,1.0,1,0,1,200,"Successful"
"the experience of going to a film festival is a rewarding one ; the experiencing of sampling one through this movie is not .","the experience of going to a film festival is a rewarding one ; the experiencing of sampling one through this movie is not .",1.0,1.0,1,1,0,1,"Skipped"
"but what are [[adults]] doing in the theater at all ?","but what are [[aRdults]] doing in the theater at all ?",0.0,0.0,0,0,0,74,"Failed"
"of [[course]] , by more objective measurements it 's still quite bad .","of [[ciurse]] , by more objective measurements it 's still quite bad .",0.0,0.0,0,0,0,200,"Failed"
"[[manages]] to show life in all of its banality when the intention is quite the opposite .","[[mBanages]] to show life in all of its banality when the intention is quite the opposite .",0.0,0.0,0,0,0,200,"Failed"
"but [[taken]] as a stylish and energetic one-shot , the queen of the damned can not be said to suck .","but [[taLken]] as a stylish and energetic one-shot , the queen of the damned can not be said to suck .",0.0,1.0,1,0,1,200,"Successful"
"oh [[come]] on .","oh [[cWome]] on .",0.0,0.0,0,0,0,13,"Failed"
"... a story we have n't seen on the big screen before , and it 's a story that we as americans , and human beings , should [[know]] .","... a story we have n't seen on the big screen before , and it 's a story that we as americans , and human beings , should [[kjow]] .",0.0,1.0,1,0,1,200,"Successful"
"... a fun [[little]] timewaster , helped especially by the cool presence of jean reno .","... a fun [[lHittle]] timewaster , helped especially by the cool presence of jean reno .",0.0,0.0,1,1,1,200,"Failed"
"the movie has an infectious exuberance that will engage anyone with a passing interest in the skate\/surf culture , the l.a. beach scene and the imaginative -lrb- and sometimes illegal -rrb- ways kids can make a playground out of the refuse of adults .","the movie has an infectious exuberance that will engage anyone with a passing interest in the skate\/surf culture , the l.a. beach scene and the imaginative -lrb- and sometimes illegal -rrb- ways kids can make a playground out of the refuse of adults .",1.0,1.0,0,0,1,1,"Skipped"
"this [[nickleby]] thing might have more homosexual undertones than an eddie murphy film .","this [[nJickleby]] thing might have more homosexual undertones than an eddie murphy film .",0.0,0.0,0,0,0,200,"Failed"
