"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"it 's about following your dreams , no matter what your parents think .","it 's about following your dreams , no matter what your parents think .",0.0,0.0,1,1,1,26,"Failed"
"a wildly inconsistent emotional experience .","a wildly inconsistent emotional experience .",0.0,0.0,0,0,0,21,"Failed"
"` de niro ... is a [[veritable]] source of sincere passion that this hollywood contrivance orbits around . '","` de niro ... is a [[evritable]] source of sincere passion that this hollywood contrivance orbits around . '",0.0,1.0,1,0,1,24,"Successful"
"far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series .","far more imaginative and ambitious than the trivial , cash-in features nickelodeon has made from its other animated tv series .",1.0,1.0,0,0,1,1,"Skipped"
"for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama .","for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama .",0.0,0.0,1,1,1,50,"Failed"
"i do n't mind having my heartstrings pulled , but do n't treat me like a fool .","i do n't mind having my heartstrings pulled , but do n't treat me like a fool .",0.0,0.0,0,0,0,40,"Failed"
"manages to transcend the sex , drugs and show-tunes plot into something far richer .","manages to transcend the sex , drugs and show-tunes plot into something far richer .",0.0,0.0,1,1,1,46,"Failed"
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .","the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .",0.0,0.0,0,0,0,71,"Failed"
"good old-fashioned slash-and-hack is [[back]] !","good old-fashioned slash-and-hack is [[abck]] !",0.0,1.0,1,0,1,12,"Successful"
"this movie is [[maddening]] .","this movie is [[madTdening]] .",0.0,1.0,0,1,0,11,"Successful"
"if you can stomach the rough content , it 's worth checking out for the performances alone .","if you can stomach the rough content , it 's worth checking out for the performances alone .",0.0,0.0,1,1,1,36,"Failed"
"a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work .","a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work .",0.0,0.0,1,1,1,75,"Failed"
