"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .","may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .",8.094310760498047e-05,8.094310760498047e-05,0,0,0,100,"Failed"
"the [[lower]] your [[expectations]] , the more you 'll [[enjoy]] it .","the [[blue]] your [[outlook]] , the more you 'll [[delight]] it .",0.00039511919021606445,0.3757064938545227,0,0,0,86,"Failed"
"the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .","the movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .",5.328655242919922e-05,5.328655242919922e-05,0,0,0,100,"Failed"
"it [[treats]] [[women]] [[like]] [[idiots]] .","it [[goody]] [[char]] [[comparable]] [[changeling]] .",6.103515625e-05,0.008644163608551025,0,0,0,67,"Failed"
"all that 's [[missing]] is the spontaneity , originality and delight .","all that 's [[escape]] is the spontaneity , originality and delight .",0.009055256843566895,0.501953125,0,1,0,44,"Successful"
"it 's too [[self-important]] and [[plodding]] to be [[funny]] , and too clipped and [[abbreviated]] to be an [[epic]] .","it 's too [[chesty]] and [[donkeywork]] to be [[peculiar]] , and too clipped and [[abridge]] to be an [[larger-than-life]] .",4.696846008300781e-05,0.0014607906341552734,0,0,0,100,"Failed"
"[[one]] of the most significant moviegoing pleasures of the year .","[[unmatched]] of the most significant moviegoing pleasures of the year .",0.07107365131378174,0.6242935657501221,1,0,1,47,"Successful"
"nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle .","nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle .",0.00025409460067749023,0.00025409460067749023,0,0,0,100,"Failed"
"[[directed]] in a paint-by-numbers [[manner]] .","[[guide]] in a paint-by-numbers [[style]] .",0.00015115737915039062,0.004538476467132568,0,0,0,62,"Failed"
"you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this .","you really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this .",4.661083221435547e-05,4.661083221435547e-05,0,0,0,100,"Failed"
